"Key","Title","Description","Municipality","DetailRegionCode"
"BU00590009","Verspreide huizen Gerkesklooster",,"GM0059","BU00590009"
"WK005901  ","Wijk 01 Centrum",,"GM0059","WK005901"
"BU00590100","Stroobos",,"GM0059","BU00590100"
"BU00590102","Drogeham",,"GM0059","BU00590102"
"BU00590103","Augustinusga",,"GM0059","BU00590103"
"BU00590107","Verspreide huizen Stroobos",,"GM0059","BU00590107"
"BU00590108","Verspreide huizen Drogeham",,"GM0059","BU00590108"
"BU00590109","Verspreide huizen Augustinusga",,"GM0059","BU00590109"
"WK005902  ","Wijk 02 Zuid",,"GM0059","WK005902"
"BU00590200","Surhuisterveen",,"GM0059","BU00590200"
"BU00590201","Harkema",,"GM0059","BU00590201"
"BU00590202","Surhuizum",,"GM0059","BU00590202"
"BU00590203","Boelenslaan",,"GM0059","BU00590203"
"BU00590206","Verspreide huizen Surhuisterveen",,"GM0059","BU00590206"
"BU00590207","Verspreide huizen Harkema",,"GM0059","BU00590207"
"BU00590208","Verspreide huizen Surhuizum",,"GM0059","BU00590208"
"BU00590209","Verspreide huizen Boelenslaan",,"GM0059","BU00590209"
"GM0482    ","Alblasserdam",,"GM0482","GM0482"
"WK048201  ","Wijk 01 Centrum",,"GM0482","WK048201"
"BU04820101","Cortgene",,"GM0482","BU04820101"
"BU04820102","Redersbuurt",,"GM0482","BU04820102"
"BU04820103","kerkbuurt",,"GM0482","BU04820103"
"BU04820104","Polderbuurt",,"GM0482","BU04820104"
"BU04820105","De Werven",,"GM0482","BU04820105"
"WK048202  ","Wijk 02 Kinderdijk",,"GM0482","WK048202"
"BU04820201","Dijk",,"GM0482","BU04820201"
"BU04820202","Vogelbuurt",,"GM0482","BU04820202"
"BU04820203","Waterland",,"GM0482","BU04820203"
"BU04820204","Groene Long",,"GM0482","BU04820204"
"BU04820205","Rivierenbuurt",,"GM0482","BU04820205"
"BU04820206","Nieuw Kinderdijk",,"GM0482","BU04820206"
"WK048203  ","Wijk 03 Blokweer",,"GM0482","WK048203"
"BU04820301","Zeelt",,"GM0482","BU04820301"
"BU04820302","Middelland",,"GM0482","BU04820302"
"BU04820303","Blokweer Noord",,"GM0482","BU04820303"
"BU04820304","Blokweer Zuid",,"GM0482","BU04820304"
"BU04820305","Drentsebuurt",,"GM0482","BU04820305"
"BU04820306","Florabuurt",,"GM0482","BU04820306"
"BU04820307","Staatsliedenbuurt",,"GM0482","BU04820307"
"WK048204  ","Wijk 04 Souburgh",,"GM0482","WK048204"
"BU04820401","Schildersbuurt",,"GM0482","BU04820401"
"BU04820402","Schrijversbuurt",,"GM0482","BU04820402"
"BU04820403","Klein Alblas",,"GM0482","BU04820403"
"BU04820404","Oranjebuurt",,"GM0482","BU04820404"
"WK048205  ","Wijk 05 Bedrijventerrein",,"GM0482","WK048205"
"BU04820501","Vinkenwaard",,"GM0482","BU04820501"
"BU04820502","Hoogendijk",,"GM0482","BU04820502"
"BU04820503","Nieuwland",,"GM0482","BU04820503"
"WK048206  ","Wijk 06 Landelijk gebied",,"GM0482","WK048206"
"BU04820601","Polder Blokweer",,"GM0482","BU04820601"
"BU04820602","Polder Kortland",,"GM0482","BU04820602"
"BU04820603","Polder Souburgh",,"GM0482","BU04820603"
"BU04820604","Polder Vinkenwaard",,"GM0482","BU04820604"
"GM0613    ","Albrandswaard",,"GM0613","GM0613"
"WK061301  ","Wijk 01 Poortugaal-Noord",,"GM0613","WK061301"
"BU06130101","Valckesteyn",,"GM0613","BU06130101"
"BU06130102","Zwaardijk-Kruisdijk",,"GM0613","BU06130102"
"BU06130103","Poortugaal",,"GM0613","BU06130103"
"BU06130104","Buitengebied Poortugaal",,"GM0613","BU06130104"
"WK061302  ","Wijk 02 Rhoon-Noord",,"GM0613","WK061302"
"BU06130205","Rhoon Noord",,"GM0613","BU06130205"
"BU06130207","Buitengebied Rhoon-Noord",,"GM0613","BU06130207"
"WK061303  ","Wijk 03 Poortugaal-Zuid",,"GM0613","WK061303"
"BU06130308","Beatrixstraat",,"GM0613","BU06130308"
"BU06130309","Landweg",,"GM0613","BU06130309"
"BU06130310","Poortugaal-Centrum",,"GM0613","BU06130310"
"BU06130311","Poortugaal Zuid",,"GM0613","BU06130311"
"BU06130312","Polder Albrandswaard",,"GM0613","BU06130312"
"BU06130313","Kijvelanden",,"GM0613","BU06130313"
"WK061304  ","Wijk 04 Rhoon-Zuid",,"GM0613","WK061304"
"BU06130414","Rhoon-Centrum",,"GM0613","BU06130414"
"BU06130415","Ghijseland",,"GM0613","BU06130415"
"BU06130416","Overhoeken",,"GM0613","BU06130416"
"BU06130417","Park Rhoon",,"GM0613","BU06130417"
"BU06130418","Rhoon-Zuidoost",,"GM0613","BU06130418"
"BU06130419","Tijsjesdijk",,"GM0613","BU06130419"
"BU06130420","Buitengebied Rhoon-Zuid",,"GM0613","BU06130420"
"WK061305  ","Wijk 05 Buitengebied Albrandswaard",,"GM0613","WK061305"
"BU06130521","Portland-Koedoodzone",,"GM0613","BU06130521"
"BU06130522","Buitengebied",,"GM0613","BU06130522"
"WK061306  ","Wijk 06 Portland",,"GM0613","WK061306"
"BU06130623","Driehoek",,"GM0613","BU06130623"
"BU06130624","Portland-Centrum",,"GM0613","BU06130624"
"BU06130625","Wijkpark Portland",,"GM0613","BU06130625"
"BU06130626","De Eilanden",,"GM0613","BU06130626"
"WK061307  ","Wijk 07 Rotterdam-Albrandswaard",,"GM0613","WK061307"
"BU06130706","Distripark",,"GM0613","BU06130706"
"GM0361    ","Alkmaar",,"GM0361","GM0361"
"WK036101  ","Zuid",,"GM0361","WK036101"
"BU03610100","Kooimeer",,"GM0361","BU03610100"
"BU03610101","Dillenburg en Stadhouderskwartier",,"GM0361","BU03610101"
"BU03610102","Staatsliedenkwartier en Landstraten",,"GM0361","BU03610102"
"BU03610103","Oud-Rochdale",,"GM0361","BU03610103"
"BU03610104","Emmakwartier",,"GM0361","BU03610104"
"BU03610105","Nassaukwartier en Hout",,"GM0361","BU03610105"
"BU03610106","Oranjepark",,"GM0361","BU03610106"
"BU03610107","Cranenbroek",,"GM0361","BU03610107"
"BU03610108","Bloemwijk en Zocherkwartier",,"GM0361","BU03610108"
"BU03610109","Burgemeesterskwartier",,"GM0361","BU03610109"
"WK036102  ","Oudorp",,"GM0361","WK036102"
"BU03610200","Rekerbuurt en Ooievaarsnest",,"GM0361","BU03610200"
"BU03610201","Oudorp-Noord en Oudorp-Oost",,"GM0361","BU03610201"
"BU03610202","Oudorp-Centrum",,"GM0361","BU03610202"
"BU03610203","Schermereiland en Omval",,"GM0361","BU03610203"
"BU03610204","Oudorperpolder-Zuid",,"GM0361","BU03610204"
"BU03610205","Oudorperpolder-Midden",,"GM0361","BU03610205"
"BU03610206","Oudorperpolder-Noord",,"GM0361","BU03610206"
"BU03610208","De Nollen",,"GM0361","BU03610208"
"BU03610209","Beverkoog",,"GM0361","BU03610209"
"WK036103  ","Overdie",,"GM0361","WK036103"
"BU03610300","Oud-Overdie",,"GM0361","BU03610300"
"BU03610301","Oosterhout",,"GM0361","BU03610301"
"BU03610302","Overdie-Oost",,"GM0361","BU03610302"
"BU03610303","Overdie-West",,"GM0361","BU03610303"
"BU03610308","Boekelermeer-Zuid",,"GM0361","BU03610308"
"BU03610309","Boekelermeer-Noord",,"GM0361","BU03610309"
"WK036104  ","West",,"GM0361","WK036104"
"BU03610400","De Hoef III en IV",,"GM0361","BU03610400"
"BU03610401","De Hoef I en II",,"GM0361","BU03610401"
"BU03610402","Bergerwegkwartier",,"GM0361","BU03610402"
"BU03610403","Bergerhof en Blaeustraatkwartier",,"GM0361","BU03610403"
"BU03610404","Bergermeer",,"GM0361","BU03610404"
"BU03610409","Landelijk gebied-West",,"GM0361","BU03610409"
"WK036105  ","Huiswaard",,"GM0361","WK036105"
"BU03610500","Huiswaard-1-Zuid",,"GM0361","BU03610500"
"BU03610501","Muiderwaard",,"GM0361","BU03610501"
"BU03610502","Huiswaard-2-West",,"GM0361","BU03610502"
"BU03610503","Huiswaard-2-Oost",,"GM0361","BU03610503"
"WK036106  ","De Mare",,"GM0361","WK036106"
"BU03610600","'t Rak-Zuid",,"GM0361","BU03610600"
"BU03610601","'t Rak-Noord",,"GM0361","BU03610601"
"BU03610602","De Horn-Noord",,"GM0361","BU03610602"
"BU03610603","De Horn-Zuid",,"GM0361","BU03610603"
"BU03610604","De Mare",,"GM0361","BU03610604"
"WK036107  ","Daalmeer/Koedijk",,"GM0361","WK036107"
"BU03610700","Daalmeer-Zuidoost",,"GM0361","BU03610700"
"BU03610701","Daalmeer-Zuidwest",,"GM0361","BU03610701"
"BU03610702","Koedijk en De Weijdt",,"GM0361","BU03610702"
"BU03610703","Daalmeer-Noordwest",,"GM0361","BU03610703"
"BU03610704","Daalmeer-Noordoost",,"GM0361","BU03610704"
"BU03610709","Landelijk gebied Noord",,"GM0361","BU03610709"
"WK036108  ","Centrum",,"GM0361","WK036108"
"BU03610800","Binnenstad-West",,"GM0361","BU03610800"
"BU03610801","Binnenstad-Oost",,"GM0361","BU03610801"
"BU03610802","Spoorbuurt",,"GM0361","BU03610802"
"BU03610803","Overstad",,"GM0361","BU03610803"
"WK036109  ","Schermer",,"GM0361","WK036109"
"BU03610900","Oterleek",,"GM0361","BU03610900"
"BU03610901","Ursem gem. S",,"GM0361","BU03610901"
"BU03610902","Stompetoren",,"GM0361","BU03610902"
"BU03610903","Schermerhorn",,"GM0361","BU03610903"
"BU03610904","Zuidschermer",,"GM0361","BU03610904"
"BU03610905","Driehuizen",,"GM0361","BU03610905"
"BU03610906","Grootschermer",,"GM0361","BU03610906"
"WK036110  ","Graft-De Rijp",,"GM0361","WK036110"
"BU03611000","Noordeinde",,"GM0361","BU03611000"
"BU03611001","West-Graftdijk",,"GM0361","BU03611001"
"BU03611002","Graft",,"GM0361","BU03611002"
"BU03611003","De Rijp",,"GM0361","BU03611003"
"BU03611004","Oost-Graftdijk",,"GM0361","BU03611004"
"BU03611005","Starnmeer",,"GM0361","BU03611005"
"BU03611006","Markenbinnen",,"GM0361","BU03611006"
"WK036111  ","Vroonermeer",,"GM0361","WK036111"
"BU03611100","Vroonermeer-Zuid",,"GM0361","BU03611100"
"BU03611101","Vroonermeer-Noord",,"GM0361","BU03611101"
"GM0141    ","Almelo",,"GM0141","GM0141"
"WK014110  ","Wijk 10 Binnenstad",,"GM0141","WK014110"
"BU01411000","Binnenstad-Noord",,"GM0141","BU01411000"
"BU01411001","Binnenstad-Zuid",,"GM0141","BU01411001"
"BU01411002","Ulk en omgeving",,"GM0141","BU01411002"
"BU01411003","Java en omgeving",,"GM0141","BU01411003"
"WK014111  ","Wijk 11 De Riet",,"GM0141","WK014111"
"BU01411100","Bornsestraat en omgeving Midden",,"GM0141","BU01411100"
"BU01411101","Riet Noord",,"GM0141","BU01411101"
"BU01411102","Arendsboer en omgeving Noord",,"GM0141","BU01411102"
"BU01411103","Nieuwland",,"GM0141","BU01411103"
"BU01411104","Arendsboer en omgeving Zuid",,"GM0141","BU01411104"
"BU01411105","Riet Zuid",,"GM0141","BU01411105"
"BU01411106","Bornsestraat en omgeving Zuid",,"GM0141","BU01411106"
"BU01411109","Verspreide huizen wijk 11",,"GM0141","BU01411109"
"WK014112  ","Wijk 12 Noorderkwartier",,"GM0141","WK014112"
"BU01411200","Vriezenveenseweg e.o. Haghoek Oost","Vriezenveenseweg en omgeving Haghoek Oost","GM0141","BU01411200"
"BU01411201","Parkweg en omgeving",,"GM0141","BU01411201"
"BU01411202","Vriezenveenseweg e.o. Haghoek West","Vriezenveenseweg en omgeving Haghoek West","GM0141","BU01411202"
"BU01411209","Verspreide huizen wijk 12",,"GM0141","BU01411209"
"WK014113  ","Wijk 13 Sluitersveld",,"GM0141","WK014113"
"BU01411300","Ootmarsumsestraat en omgeving",,"GM0141","BU01411300"
"BU01411301","Markgraven",,"GM0141","BU01411301"
"BU01411302","Rumerslanden",,"GM0141","BU01411302"
"BU01411303","Wester-Sluitersveldlanden",,"GM0141","BU01411303"
"BU01411309","Verspreide huizen wijk 13",,"GM0141","BU01411309"
"WK014114  ","Wijk 14 Wierdense Hoek",,"GM0141","WK014114"
"BU01411400","Dijkstraat en omgeving",,"GM0141","BU01411400"
"BU01411401","Rohof en omgeving",,"GM0141","BU01411401"
"BU01411402","Kerkelanden",,"GM0141","BU01411402"
"BU01411403","Aalderinkshoek Noordoost",,"GM0141","BU01411403"
"BU01411404","Aalderinkshoek Zuidoost",,"GM0141","BU01411404"
"BU01411405","Aalderinkshoek Noordwest",,"GM0141","BU01411405"
"BU01411406","Aalderinkshoek Zuidwest",,"GM0141","BU01411406"
"BU01411409","Verspreide huizen wijk 14",,"GM0141","BU01411409"
"WK014115  ","Wijk 15 Nieuwstraat-Kwartier",,"GM0141","WK014115"
"BU01411500","Nieuwstraat en omgeving",,"GM0141","BU01411500"
"BU01411501","Wonde en omgeving",,"GM0141","BU01411501"
"BU01411502","Witvoet en omgeving",,"GM0141","BU01411502"
"BU01411503","Achterlanden en omgeving",,"GM0141","BU01411503"
"WK014116  ","Wijk 16 Ossenkoppelerhoek",,"GM0141","WK014116"
"BU01411600","Boomplaats",,"GM0141","BU01411600"
"BU01411601","Ossenkoppelerhoek-Oost",,"GM0141","BU01411601"
"BU01411602","Beeklust",,"GM0141","BU01411602"
"BU01411603","Ossenkoppelerhoek-Midden-Noord",,"GM0141","BU01411603"
"BU01411604","Ossenkoppelerhoek-West",,"GM0141","BU01411604"
"BU01411605","Ossenkoppelerhoek-Midden-Zuid",,"GM0141","BU01411605"
"WK014117  ","Wijk 17 Hofkamp",,"GM0141","WK014117"
"BU01411700","Hofkamp-West",,"GM0141","BU01411700"
"BU01411701","Hofkamp-Oost",,"GM0141","BU01411701"
"BU01411702","Paradijs",,"GM0141","BU01411702"
"BU01411703","Kollenveld-Bolkshoek",,"GM0141","BU01411703"
"BU01411709","Verspreide huizen Hofkamp",,"GM0141","BU01411709"
"WK014118  ","Wijk 18 Schelfhorst",,"GM0141","WK014118"
"BU01411800","Schelfhorst-Zuidwest",,"GM0141","BU01411800"
"BU01411801","Drakensteyn en omgeving",,"GM0141","BU01411801"
"BU01411802","Schelfhorst-Noordwest",,"GM0141","BU01411802"
"BU01411803","Havezathe",,"GM0141","BU01411803"
"BU01411804","Schelfhorst-Noordoost",,"GM0141","BU01411804"
"BU01411805","Schelfhorst-Zuidoost",,"GM0141","BU01411805"
"BU01411806","Veenelanden",,"GM0141","BU01411806"
"WK014119  ","Wijk 19 Windmolenbroek",,"GM0141","WK014119"
"BU01411900","Groeneveld",,"GM0141","BU01411900"
"BU01411901","Kanaalzijde",,"GM0141","BU01411901"
"BU01411902","Leemslagen-Noord",,"GM0141","BU01411902"
"BU01411903","Leemslagen-Zuid",,"GM0141","BU01411903"
"BU01411904","Zeven Bosjes",,"GM0141","BU01411904"
"BU01411905","Leemslagen-Oost",,"GM0141","BU01411905"
"BU01411906","Huttenveld",,"GM0141","BU01411906"
"BU01411907","Maardijk",,"GM0141","BU01411907"
"BU01411908","De Grens",,"GM0141","BU01411908"
"BU01411909","Nijrees",,"GM0141","BU01411909"
"BU01411910","Verspreide huizen wijk 19",,"GM0141","BU01411910"
"WK014120  ","Wijk 20 Aadorp",,"GM0141","WK014120"
"BU01412000","Aadorp-West",,"GM0141","BU01412000"
"BU01412001","Aadorp-Oost",,"GM0141","BU01412001"
"BU01412002","Bedrijvenpark Twente",,"GM0141","BU01412002"
"BU01412009","Verspreide huizen wijk 20",,"GM0141","BU01412009"
"WK014121  ","Wijk 21 Bornerbroek",,"GM0141","WK014121"
"BU01412100","Bornerbroek",,"GM0141","BU01412100"
"BU01412109","Verspreide huizen wijk 21",,"GM0141","BU01412109"
"GM0034    ","Almere",,"GM0034","GM0034"
"WK003401  ","Wijk 01 Almere Haven",,"GM0034","WK003401"
"BU00340101","Centrum Almere Haven",,"GM0034","BU00340101"
"BU00340102","De Werven",,"GM0034","BU00340102"
"BU00340103","De Hoven",,"GM0034","BU00340103"
"BU00340104","De Meenten",,"GM0034","BU00340104"
"BU00340105","De Grienden",,"GM0034","BU00340105"
"BU00340106","De Marken",,"GM0034","BU00340106"
"BU00340107","De Gouwen",,"GM0034","BU00340107"
"BU00340108","De Wierden",,"GM0034","BU00340108"
"BU00340109","De Velden",,"GM0034","BU00340109"
"BU00340110","Overgooi",,"GM0034","BU00340110"
"BU00340171","De Steiger",,"GM0034","BU00340171"
"BU00340173","Stichtsekant",,"GM0034","BU00340173"
"BU00340199","Overig Almere Haven",,"GM0034","BU00340199"
"WK003402  ","Wijk 02 Almere Stad",,"GM0034","WK003402"
"BU00340201","Centrum Almere Stad",,"GM0034","BU00340201"
"BU00340202","Filmwijk",,"GM0034","BU00340202"
"BU00340203","Danswijk",,"GM0034","BU00340203"
"BU00340204","Parkwijk",,"GM0034","BU00340204"
"BU00340205","Verzetswijk",,"GM0034","BU00340205"
"BU00340206","Waterwijk",,"GM0034","BU00340206"
"BU00340207","Tussen de Vaarten Noord",,"GM0034","BU00340207"
"BU00340208","Tussen de Vaarten Zuid",,"GM0034","BU00340208"
"BU00340209","Staatsliedenwijk",,"GM0034","BU00340209"
"BU00340210","Kruidenwijk",,"GM0034","BU00340210"
"BU00340211","Stedenwijk",,"GM0034","BU00340211"
"BU00340212","Muziekwijk Noord",,"GM0034","BU00340212"
"BU00340213","Muziekwijk Zuid",,"GM0034","BU00340213"
